Session Title,Date,Time Start,Time End,Room/Location,Schedule Track (Optional),Description (Optional)
Jon Kruger: .NET TDD Immersion (Tuesday Half Day PM),01/08/2013,1:30 PM,5:30 PM,Indigo,.NET,"TDD Immersion covers everything you need to know to do test-driven development on real .NET projects. We'll go over stuff like how to write tests first, how to refactor your code to make it easier to test, mocking frameworks like Moq, dependency injection with StructureMap, and other TDD tips and tricks I've learned from doing TDD over the years.

We'll also walk through a sample ASP.NET MVC web app and show you how you might set up an actual project, work with ORMs and data access layers, set up your test projects, and make things easy to test.  We'll end with some TDD practice to help you hone your TDD skills, so bring your laptop (or pair up with someone who has one). TDD has revolutionized the way that I write code and it can do the same for you! 
"
Carol J. Smith: “Users are Losers! They’ll Like Whatever we Make” and Other Fallacies. ,01/11/2013,10:45 AM,11:45 AM,Salon H,Design/UX,"If this sounds familiar it is time to make big changes or look for a new job. Failing your users will only end badly. In this session we’ll look at the assumptions that are all-too-often made about users, usability and the User Experience (UX). In response to each of these misguided statements Carol will provide a quick method you can conduct with little or no resources to debunk these myths. "
JC Grubbs: A Practical Guide to CSS3 - CANCELLED,01/10/2013,1:45 PM,2:45 PM,Salon H,Design/UX,"THIS SESSION HAS BEEN CANCELLED

Modern web applications push the envelope toward feeling more and more ""native"", and today many developers are taking a single-page approach to building complex apps.  As our interactions become more complicated so do our styling requirements.  Animations, transitions, highly stylized elements, web fonts, responsive layouts all add to the complexity of our projects.  In this talk, JC will help untangle some of the features of CSS3 that we can use today.  He'll show us some helpful tools like SASS and Bourbon for helping to better organize our styling while maintaining cross-browser compatibility.

This talk will focus on:

- CSS3 animations and transitions
- Advanced layout with CSS3 Flex-box
- Element styling (shadows, border radius, multiple backgrounds, gradients, etc)
- Typography, web fonts and icon fonts
- Using media queries
- An introduction to SASS and the Bourbon library"
Javier Lozano: Advanced ASP.NET MVC - CANCELLED,01/10/2013,3:35 PM,4:35 PM,Sagewood/Zebrawood,.NET,"SESSION CANCELLED 

In this session we will look at different techniques that leverage extensibility points within ASP.NET MVC to make the most of your applications.  If you've ever wanted to know how you can do more with less within MVC, this is a session you don't want to miss!"
Peter Ritchie: Advanced Unit Testing Design and How it Applies to Stakeholders,01/10/2013,1:45 PM,2:45 PM,Portia/Wisteria,Testing,"Automated testing provides a way for developers to validate a certain level of quality. But, automated testing provides much, much more than that. Automated tests form the basis of many types of documentation, if you let them.

This session details how you can build on your automated testing successes by detailing how organize and name your test classes and test methods to make your tests work for you. Your tests can be the reference documentation for your internal APIs. Tests can validate code but they can also validate requirements and acceptance criteria. When tests are well organized, they can be used to round-trip requirements and acceptance criteria to give stakeholders full round-trip validation by generating human-readable documentation based on certain tests. This session also details ways to reflect certain types of tests to document how tests are validating requirements and acceptance criteria."
All Attendees: Aftermash Party,01/11/2013,6:00 PM,8:00 PM,Dining Room,.NET,
Jon Stahl: Agile Servant Leadership practices with Moral Authority: WOOF,01/11/2013,9:30 AM,10:30 AM,Guava/Tamarind,Agile,"This interactive session will share emerging Lean & Agile leadership techniques for management that we practice to support servant leadership. We will discuss decision making techniques such as Fist of Five, 6 Thinking Hats, demonstrate collaboration techniques such as Collaboration 8, Program Alignment Walls, Key Performance Indicators, Sales Alignment Wall, Lady Bugs, and discuss how to lead with Moral Authority.  "
"Barry Hawkins: Agile, Lean, and the Space Between",01/11/2013,10:45 AM,11:45 AM,Nile,Agile,"In early 2001, ""Agile"" was coined as the umbrella term for Scrum, XP, ASD, DSDM, Crystal, and a few other methodologies. In 2003, Mary and Tom Poppendieck published the book ""Lean Software Development: An Agile Toolkit"", and the term Lean Software Development became known among a subset of the larger Agile community.

For years, one could assume that any development group trying to improve its approach to software was applying some form of Agile Software Development methodology. In the last couple of years, Lean Software Development has seen a surge in popularity. Some groups adopting Lean perceive it as an alternative to Agile processes like Scrum, and express a sense of elitism and superiority, having ""moved beyond Agile"".

While Agile Software Development and Lean Software Development originate from different sources, they are actually closely related and share a great deal of overlap. In this talk attendees will discover where each came from, and just how much of Agile and Lean are shared in the space between."
"Michael Pardo: Android Custom Views, the Right Way",01/10/2013,3:35 PM,4:35 PM,Zambezi,Mobile,"Android is a very powerful framework that has just about everything you'll need out of the box. For everything else, Android includes a sophisticated and powerful framework for creating the crazy UI you have in mind. Learn the three main methods we use to create custom views, and all the tips you'll need to write code that fits right in with the Android Open Source Project."
John Lindquist: AngularJS: The HTML of the Future,01/11/2013,3:35 PM,4:35 PM,Salon D,JavaScript,"Come learn how AngularJS (http://www.angularjs.org/) can extend HTML vocabulary for your own applications and build reusable HTML components that you can share across projects. We'll also focus on how easy it is to connect to services and bind to any data source to quickly build up very rich applications. All demonstrations, code, and slides from the presentation will be freely available on github for your own use."
William Klos: Applying Pizza Delivery Lessons to Emergency Helicopter Dispatching,01/10/2013,1:45 PM,2:45 PM,Nile,Ruby,"A case study for building a set of custom applications to request and monitor emergency helicopters for use in hospitals.

For this project we decided to build our cloud app with a hodgepodge of parts: Heroku, Ruby, Sinatra, CouchDB and Redis. and for our user interface: a native iOS app running on iPads - with a JSON REST API tying it all together.

We will answer questions like: ""Where does pub/sub beat queuing?"", ""Do I really need to cache my REST calls?"", and ""Why doesn't this scale - I added more memory?"""
Dianne Marsh: Atomic Scala (Wednesday Full Day),01/09/2013,8:30 AM,5:30 PM,H,Scala,"This seminar is based on our book Atomic Scala, which takes away the pain of learning by breaking subjects into the smallest chunks we could (we call them ""atoms""). Even (dedicated) first-time programmers can learn Scala with this book, but the design also makes it the most expedient way for experienced programmers to get started with Scala.
We present each Atom (chapter) in the book as a very short lecture, followed by an exercise period. Atomic concepts make learning Scala easy and fun.
Topics
Scala is an amazing and elegant language. It's also powerful, and overwhelming if you try to absorb it all at once. Our goal is to present the language in small bites that you can quickly grasp, to give you a foundation on which you build more knowledge.
This 1-day precompiler is based on our weeklong format. We want you to finish the day feeling strong and ready to learn more about Scala. To achieve this we have selected a subset of topics that, once learned, allow you to create useful and interesting programs; a base from which you can increase your knowledge. We have carefully trimmed away topics that you don't need to know right away (but that you'll be able to acquire more easily from books or more advanced courses).  We’ll send installation instructions prior to CodeMash, so that we can jump right into learning Scala.
"
All Attendees: Attendee Party,01/10/2013,7:00 PM,11:55 PM,TBD,,
James Bender: BDD in .NET with SpecFlow,01/10/2013,3:35 PM,4:35 PM,Portia/Wisteria,Testing,"A key concept of any Agile methodology is communication. It’s no longer normal or acceptable for developers to sit and develop applications in isolation from the business. To that end, developers and business domain experts have been trying to find better ways to communicate. While developers tend to speak in terms of “code and technology” most business domain experts are more comfortable communicating in terms of scenarios, workflows and business rules.
 Test Driven Development (TDD) was the first step in getting these two groups to communicate in the same way. Developers could write unit tests that expressed business requirements with the hope that business users could validate that what was being tested was in fact what the desired behavior was. But, unit tests are still code and while it was better, the communication was still stilted and inefficient.

To help this communication new techniques such as Behavior Driven Development (BDD) and Acceptance Test Driven Development (ATDD) have become popular. Along with these new ideas, new tools like SpecFlow have become popular as a means to express unit tests in a way that the business can better understand and validate.

This session will demonstrate how SpecFlow can be leveraged in your BDD or ATDD practices. In this session you will learn what SpecFlow is and how to integrate it into your .NET project. The Gherkin language and the “Given, When, Then” paradigm will be explained. You will see how to write tests in a way that business users are not only capable of reading, but can also help you create them.
"
Bill Heitzeg: Becoming a software strategist,01/10/2013,11:00 AM,12:00 PM,Nile,Business,"As Software developers we are literally on the front-line everyday.  We’re creating software and delivering it at both an exhilarating and sometimes exhausting pace.  We use Agile to get our customer involved in our process.  What we are often missing is getting ourselves involved in our customer’s process. In this session you’ll learn how to vastly improve the software you deliver by becoming a software strategist. You’ll be given the tools that will allow to create a written strategy that any MBA will be impressed with.  You’ll learn how to create effective steering committees.  Most importantly, you’ll learn how to become a part of strategic decision making before it happens.  Strategy is the essential first step into building great software, by learning and applying these techniques, you be immeasurably helping yourself and your organization."
Steve Smith: Beginning Software Craftsmanship (Wednesday Half Day AM),01/09/2013,8:30 AM,12:30 PM,Cypress,Craftsmanship,"In this interactive session, you'll learn some of the basic principles and practices of writing better quality code: testing and pairing.  You'll work with a variety of partners on coding katas designed to instill best practices that you'll then be ready to apply when next you work on production code.  This session is led by the organizers of the Hudson Software Craftsmanship group and provides a great introduction to the afternoon's Intermediate Software Craftsmanship session (though this is not a prerequisite for that session).  Attendees should already be comfortable with a programming language of their choice and if possible should bring along a laptop computer with their development tools installed, including a unit testing tool. 
"
Chris Gardner: Beginning Xbox 360 Development with the XNA Framework,01/10/2013,9:45 AM,10:45 AM,Indigo Bay,Game Development,"While many of us dream of jobs in game development, XNA Game Studio gives you the tools necessary to make and publish your own games for the Xbox Live Indie Games Marketplace. Attendees will given a brief overview of using XNA Game Studio to create software for the Xbox 360. Topics include basic sprite manipulation, controller inputs, and basic collision detection."
Nayan Hajratwala: Better Metrics for your Team,01/11/2013,1:45 PM,2:45 PM,Nile,Software Process,"Are you still measuring the performance of your team with Velocity, Estimates vs. Actuals, Code Coverage, Cyclomatic Complexity, and “style violations”? Are your business stakeholders still in the dark about when they can expect new features? If so, you’re missing the boat.

The good news is that there are more powerful and reliable metrics that are cheaper to derive. Trust me, you will love these metrics and they will love you back.

You’ll walk away from this session understanding the purpose of capturing metrics, how few you actually need, and participate in an interactive game showing you how to capture them.

Learning outcomes:
* Ability to use Throughput and Cycle Time on your projects to effectively communicate your team's performance to your business stakeholders.
* Ability to use statistical models to provide ""when will this get done"" answers to your business stakeholders.
* Understanding of the interwoven relationship of Work In Process, Cycle Time, and Throughput.
"
Jim Weirich: Better Testing with Given/When/Then,01/10/2013,9:45 AM,10:45 AM,Portia/Wisteria,Ruby,"Do you struggle with writing good tests? Do you want your executable specs to read like real specifications and not just code you have to wade through to understand?

Given/When/Then is an extension library for RSpec designed to take RSpec's excellent DSL for defining English-like specifications and taking it to the next level. Given/When/Then allows developers to clearly state what behaviors are being specified, what are the preconditions for that behavior, and what outcomes are expected under various scenarios.

This talk will cover not only the basics of Given/When/Then, but also best practices for writing readable and robust specifications that are not brittle when faced with code refactoring.
"
All Attendees: Breakfast - Friday,01/11/2013,8:15 AM,9:15 AM,Dining Room,,
All Attendees: Breakfast - Thursday,01/10/2013,7:00 AM,8:00 AM,Dining Room,,
All Attendees: Breakfast - Tuesday,01/08/2013,7:00 AM,8:30 AM,Dining Room,,
All Attendees: Breakfast - Wednesday,01/09/2013,7:00 AM,8:30 AM,Dining Room,,
Justin Searls: Budgeting Reality: a Nuanced Discussion on Mock Objects,01/11/2013,1:45 PM,2:45 PM,Sagewood/Zebrawood,Testing,"Our community's conversations about mock objects lack nuance, rigor, and thoughtfulness. This talk puts us on a path toward fixing that.

Some say ""mocks suck,"" because they reduce a test's realism and, therefore, our confidence that the code being tested actually works. Others use mocks to demarcate the outer boundary of an application, guarding the test from expensive or external dependencies (e.g. by faking a database or network resource). Still others see mocks as a ""setup of last resort"", using them only to mitigate the pain of hard-to-test code. Finally, some developers mock out every collaborator in every test, and their rationale is probably the least understood of them all!

This talk will serve as an opinionated (if broad-stroke) survey of the different ways people use test doubles (be they mocks, fakes, stubs, or spies). Our goal will be to establish a more sophisticated means of communicating on the topic. We'll discuss the pros & cons of the different approaches toward mocking, the smells of test double abuse, and the lessons I took away from writing my own test double library. 

Most importantly, the talk will emphasize why knowing what value we want from a test is a prerequisite to knowing the merits of using mock objects to write that test. Reality is expensive, and it's more valuable to some types of tests than to others."
Will Dages: Build a Cloud App In an Afternoon With Parse,01/10/2013,11:00 AM,12:00 PM,Rosewood,Mobile,"Ideas are cheap, but development time isn't. So what happens when you find yourself with nothing but a great idea and a free afternoon? Using Parse (www.parse.com) can be a great option for getting a cloud app up and running fast, without having to worry about back-end infrastructure, server maintenance, or scaling issues. 

Even if you love building your own APIs, you can use Parse à la carte to simplify Push Notifications (iOS & Android), In-App Purchases (iOS) or User Signups & Logins (with password recovery).

We'll dive into the API by going through a real setup and writing a simple web app that you'll be able to interact with immediately. I'll also be showcasing real code examples from more complex apps running Parse for their backend, and run though some prototyping use cases. In addition to the benefits, we'll also discuss some potential drawbacks of using this in a deployed app.

(Note, I do not have any affiliation with Parse. It's just a great service that has saved me countless hours of time, and I'd love to share my experiences with it.)"
Mike Benkovich: Building against the Microsoft Data Stack,01/10/2013,11:00 AM,12:00 PM,Sagewood/Zebrawood,.NET,"WebAPI or OData? WCF or ASMX? XML or JSON? Data is the core of why we build systems and solutions and look for opportunities to automate and simplify. What are the options and when do you make the tradeoffs? In this session, we look at what's new with the Microsoft ADO.NET Entity Framework and explain how it works with Windows Communication Foundation (WCF), Representational State Transfer (REST), and RIA Data Services. We also explore the technologies and the trends that are driving the frameworks to see how to take advantage of these new technologies."
